Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
These two measures will remain in force until the end of 2010 when a decision will be taken on whether they should be extended or not, based on an assessment of prevailing circumstances at the time.	这两项措施即时生效，至二零一零年底为止。 届时我会因应当时情况，决定是否需要再继续执行。
Ends/Monday, August 21, 2017	2017年8月21日（星期一）
Of this, $20 billion will be used for the first phase of the Hong Kong-Shenzhen Innovation and Technology Park in the Lok Ma Chau Loop.	其中二百亿元用于落马洲河套区港深创新及科技园（创科园）第一期。
To strengthen co-operation between Hong Kong and Macao, the Chief Executives of the two SARs agreed in November 2007 to establish a formal communication mechanism, to be led by the Financial Secretary of Hong Kong and the Secretary for Economy and Finance of Macao.	去年十一月，港澳特区行政长官同意建立一个正式的沟通机制，以加强港澳合作； 双方分别由香港财政司司长及澳门经济财政司司长牵头。
Applicants can obtain the Subscription Intention Forms at any one of the Agent Banks' designated branches* starting from next Monday (July 9), and submit the completed Subscription Intention Forms within the Registration Period (July 19 to August 8). Alternatively they can register online their intent to subscribe for the Plan at the HKMCA website within the Registration Period.	申请人可由下星期一（七月九日）起，透过任何一间代理银行的指定分行＊领取「认购意向表格」，并于登记期（七月十九日至八月八日）内，透过代理银行的指定分行递交填妥的「认购意向表格」或于香港年金公司网站以网上形式登记认购意向。
It also said that Hong Kong's business regulation was simple, the labour market was highly flexible, and investment in Hong Kong was strongly encouraged with virtually no restrictions on foreign capital.	报告亦指香港的商业规管精简，劳工市场高度灵活，在港的投资备受积极鼓励，基本上对外资并无限制。
Budget Speech by the Financial Secretary (7)	财政司司长财政预算案演辞（七）
Ends/Wednesday, September 27, 2017	2017年9月27日（星期三）
The development of a Renminbi bond market in Hong Kong was significant for Hong Kong, for the Mainland and for the region, the Financial Secretary, Mr John C Tsang said today (August 2).	财政司司长曾俊华今日（八月二日）表示，在香港发展人民币债券市场，对本港以至内地和亚太地区意味深长。
With over 130 companies, 14 000 funds and 16 000 funds industry professionals, IFIA is the representative body for the international investment funds community in Ireland.	爱尔兰基金业协会是爱尔兰具代表性的国际投资基金协会，有超过130间公司、14 000个基金、16 000名基金界专才参加。
Mr Tsang also met with Hong Kong business people in Dongguan and visited two Hong Kong-funded enterprises in Dongguan to learn more about the business environment faced by Hong Kong business people there.	曾俊华其后与在东莞的港商会面，又参观两间在东莞的港资企业，了解港商面对的营商环境。
The Hong Kong Special Administrative Region Government established the FSDC in 2013 as a high-level, cross-sectoral advisory body to engage the industry in formulating proposals to promote the further development of Hong Kong's financial services industry and to map out the strategic direction for development.	香港特别行政区政府于二零一三年成立的金发局，为一个高层次及跨界别的咨询机构，旨在就如何推动香港金融业的更大发展及金融产业策略性发展路向，征询业界并提出建议。
This demonstrates clearly the Central Government's support in reinforcing Hong Kong's status as an international financial centre and the global offshore RMB business hub, and is conducive to the development of Hong Kong's bond market.	这充分体现中央政府支持香港巩固作为国际金融中心及全球离岸人民币业务枢纽的地位，并有助香港的债券市场发展。
Additional resources will also be allocated for speech therapy services for elderly service units, benefiting some 22 000 elderly persons with swallowing difficulties or speech impairment.	政府亦会额外增拨为安老服务单位提供言语治疗服务，协助有吞咽困难或言语障碍的长者，约二万二千人受惠。
The appointment, made under the Securities and Futures Ordinance, is for a term of two years with effect from July 1, 2013.	有关委任是根据《证券及期货条例》作出，任期两年，由七月一日起生效。
The Chief Executive of the Hong Kong Monetary Authority, Mr Norman Chan, said, "We welcome the IMF's continued support of the Linked Exchange Rate system.	金融管理局总裁陈德霖说： 「我们欢迎基金组织继续支持联系汇率制度。
With economies getting more integrated and closer together, products are no longer made in one location.	随着各经济体经济的融合，产品已非只限于在一个地方生产。
At a lunch hosted by the Hong Kong Association, Mr Tsang updated members on key developments in Hong Kong including economic development, the West Kowloon Cultural District, air quality and the public consultation on population policy.	在香港工商协会的午宴上，曾俊华向商界介绍香港多方面的最新情况，包括经济发展、西九文化区、空气质素及人口政策公众咨询。
The majority of visitors were satisfied with the innovative exhibition, and were particularly interested in the photo-taking function of the interactive portals.	大部分访客均满意展览内容，尤其对互动装置中的拍照功能深感兴趣。
I believe that the most effective way to help people face economic fluctuations and to promote upward social mobility is by investing heavily in education, infrastructure and social welfare.	因此，我希望透过投资在教育、基建和社会福利，让市民可以面对经济变化，提升社会流动性。
Their next stop was the Jewellery Council of South Africa, where Mr Tsang and the delegation had a productive exchange with representatives from the umbrella body of the jewellery, diamond and watch industries.     Mr Tsang and the delegation also attended a business luncheon with representatives from South Africa's leading financial institutions co-hosted by the Hong Kong Trade Development Council and the Johannesburg Chamber of Commerce and Industry.	参观Jewellery Council of South Africa时，曾俊华与代表团和协会人员进行了富有成效的交流。 曾俊华与代表团随后出席由香港贸易发展局和南非约翰内斯堡工商会合办宴请当地主要财金机构的午餐会。
Ends/Tuesday, September 30, 2014Issued at HKT 14:57	２０１４年９月３０日（星期二）香港时间１４时３９分
FS to visit Tianjin and Ho Chi Minh City	财政司司长访问天津及胡志明市
Mr Yan, sustaining leg injuries, was admitted to hospital in stable condition and the three other Customs officers were treated and discharged.	其余三名海关人员受轻伤，敷药后已出院。
The Acting Financial Secretary, Professor K C Chan, said today (October 10) that Hong Kong's stock market, foreign exchange market and financial system have continued to function normally and in good order today.	署理财政司司长陈家强今日（十月十日）表示，香港股市、汇市、金融体系整日继续维持正常运作，秩序良好。
Addressing an executive business lunch in the Czech capital, Prague, he outlined opportunities for Czech companies in the wider Asia region, particularly in China, and explained Hong Kong's role in helping them access these opportunities.	曾俊华在捷克首都布拉格出席商务午宴致辞时，介绍在亚洲特别是中国的机遇，并解释香港可如何协助捷克公司开拓这些商机。
The Financial Secretary, Mr John C Tsang, today (July 17) started his two-day visit to Zhuhai and Macau.	财政司司长曾俊华今日（七月十七日）展开在珠海及澳门的两天访问行程。
FS starts visit to Malaysia (with photos)	财政司司长展开马来西亚访问（附图）
Also attending the seminar was the Minister of State for Trade, Employment, Business, EU Digital Single Market and Data Protection of Ireland, Mr Pat Breen.	爱尔兰商业企业创新部国务部长帕特‧布林亦有出席研讨会。
Mr Chan said, "Being the country's Special Administrative Regions, both Hong Kong and Macao possess unique advantages which enable the two places to play different but complementary roles in the country's development.	陈茂波表示︰「香港和澳门同为国家的特别行政区，同样具备独特优势，在国家的发展中可担当各自不同但功能互补的角色。
Following is the transcript (English portion) of remarks by the Financial Secretary, Mr John C Tsang, at the Budget press conference today (February 27):	以下为财政司司长曾俊华今日（二月二十七日）在财政预算案记者会上的谈话内容（中文部分）：
"In light of this new situation, I shall launch short, medium and long-term measures to reduce the industry's costs of operation and enhance Hong Kong's attractiveness and competitiveness."	「鉴于新形势，我会推出短、中、长期措施，减轻业界经营成本和加强香港的吸引力和竞争力。」
“I am confident that the dedicated efforts made by the department can effectively protect consumer rights and safeguard Hong Kong’s reputation as a shopping paradise,” he said.	他说： 「我相信海关的努力是绝对能够有效地保障消费者权益及维护香港作为旅游中心和购物天堂的美誉。」
Including other relief proposals in this year's Budget, Mr Tsang said the Government's total spending to counter the financial tsunami since 2008 would increase from $87.6 billion to $110 billion.	财政司司长指出，加上今年的纾困措施，政府因应金融海啸而推出的经济措施已从原来的876亿元增加到1,100亿元。
Hong Kong Applied Science and Technology Research Institute Co Ltd (Real-time 2D-3D Conversion Platform)8. Best Professional Development Grand Award:	香港应用科技研究院有限公司（2D-3D实时转换平台）8. 最佳专业发展大奖：
Commenting on Mr Li's departure, the Chief Executive of the HKMA, Mr Norman Chan, said, "We are sorry to lose Mr Li, who has been with the HKMA for 17 years and has made numerous contributions to the work of the HKMA.	对于李树培离任，金管局总裁陈德霖表示︰「我们对李树培离任感到非常可惜。 李树培与我们共事17年，在多个领域的工作贡献良多，我祝愿他离任后事事顺利。」
On technical testing, analysis and product testing, testing organisations in Hong Kong can co-operate with designated Mainland organisations to undertake testing of products under the China Compulsory Certification (CCC) System on a pilot basis, in respect of selected products listed in the CCC Catalogue and processed in Hong Kong. These testing organisations have to be accredited by the accreditation body of the HKSARG to be capable of performing testing for the relevant products under the CCC System.	技术检验分析与货物检验方面，在中国强制性产品认证制度（CCC）领域，经香港特区政府认可机构（香港认可处）认可的具备中国强制性产品认证制度相关产品检测能力的香港检测机构，可以香港本地加工的CCC目录内的部分产品为试点，与内地指定机构开展合作，承担CCC认证检测任务。
IMF reaffirms support for Hong Kong's prudent fiscal policy and robust regulatory and supervisory framework	国际货币基金组织再次肯定支持香港的审慎财政政策及稳健监管制度
Infrastructure projects under construction include new roads and railways, airport development, tourism facilities, hospitals, land development and environmental facilities.	动工的基建项目包括公路、铁路、机场、旅游设施、医院、土地开发和环保设施。
The Financial Secretary, Mr John C Tsang, visited the Chinese University of Hong Kong this afternoon (April 11).	财政司司长曾俊华今日（四月十一日）下午访问中文大学。
The major challenges ahead include the impact of rising interest rates in the United States, possible price correction in the property market, and Hong Kong's exposure to stresses in the Mainland.	代表团指出香港未来面对的主要挑战，包括因美国加息、物业市场可能出现的价格调整，以及源自内地的风险承担所带来的影响。
The FRRP will benefit from the rich experience and professional knowledge of the members."	各成员拥有丰富经验和专业知识，将为委员团的工作带来裨益。」
While ensuring the health of our public finance, the Financial Secretary has adopted forward-looking and strategic financial management principles in optimising the use of surplus to invest for Hong Kong and relieve our people's burdens.	在确保公共财政稳健的同时，财政司司长按具前瞻性和策略性的理财原则，善用盈余为香港投资及为市民纾困。
Starting from September 1, 2011, Taiwan visitors holding a valid Mainland Travel Permit for Taiwan Residents may visit Hong Kong for 30 days, extended from seven days, regardless of whether they possess an entry/exit endorsement for the Mainland.	由今年九月一日起，持有效《台湾居民来往大陆通行证》（又称「台胞证」）人士，不论是否有内地入出境签注，来港的逗留期限由七天延长至三十天。
Members were also briefed on the initiatives to develop green finance in Hong Kong.	委员亦听取了有关香港绿色金融发展措施的简报。
The Financial Secretary set aside $2.5 billion to launch the sixth Matching Grant Scheme (MGS) in the post-secondary education sector.	财政司司长会拨款25亿元，在所有法定或认可专上教育机构推行第六轮配对补助金计划。
In my Budget, I announced four measures to ensure healthy and stable development in our property market: (1)increase supply;	为了确保楼市健康平稳发展，我在今年的财政预算案宣布在四方面推出措施﹕一、增加楼宇供应；
Mr Tsang will also have a meeting with the Chamber of Commerce and Industry of Romania, and deliver a keynote speech at a business seminar on "Opportunities under the Belt and Road Initiative", highlighting how the "Belt and Road" will emerge as a driving force of the world economy in the 21st century.	曾俊华亦会与罗马尼亚工商协会代表会面，及在「一带一路所带来的机遇」商界研讨会上发表主题演说，重点介绍「一带一路」如何成为二十一世纪全球经济的新动力。
While Mr Tsang is away on the duty visit, the Secretary for Commerce and Economic Development, Mr Gregory So, will act as Financial Secretary.	曾俊华离港期间，由商务及经济发展局局长苏锦梁署任财政司司长。
Ends/Wednesday, June 26, 2013Issued at HKT 18:30	２０１３年６月２６日（星期三）香港时间１８时３０分
Ends/Tuesday, November 8, 2016	2016年11月8日（星期二）
"Together with other measures in this Budget, the fiscal stimulus effect on GDP will be 0.7 percentage point," Mr Tsang said.	以上措施「连同预算案其他措施，可以为本地生产总值提供百分之零点七的提振作用」。
Excess balance, if any, will be refunded.	如尚有余额的话，才作退还。
Financial Secretary:	财政司司长：
The approval was made under the Securities and Futures Ordinance (SFO).	该核准是根据《证券及期货条例》作出。
The Financial Secretary this morning delivered the Budget Speech for 2016-17, providing financial resources to support the implementation of initiatives announced in my Policy Address in January which involve $220 billion of expenditure. These initiatives will enable the current-term Government to further fulfil its pledges to alleviate poverty, care for the elderly, support the disadvantaged, nurture the youth and enhance the quality of public healthcare services.	财政司司长今日上午发表了二零一六╱一七年度《财政预算案》，在财政资源上配合我在一月公布的《施政报告》中涉及二千二百亿元的各项主张，进一步落实本届政府在扶贫、安老、助弱、培育青少年和提升公营医疗服务等多方面的承担。
I have also proposed, among other things, to expand the Science Park and set up a Pilot Green Transport Fund. This will support economic development and help diversify our economic structure.	我们亦都建议扩建科学园、设立绿色运输试验基金等，都是希望提供政策环境，发展产业，令香港的产业结构可以多元化。
Ends/Thursday, May 22, 2008Issued at HKT 13:40	２００８年５月２２日（星期四）香港时间１３时４３分
Mr Tsang also attended a gathering with members of the Hong Kong community and officiated at the launching of the ASEAN (Association of Southeast Asian Nations) Internship for University Students of Hong Kong Scheme.	曾俊华亦出席与当地香港人的聚会，主持香港大学生东盟（东南亚国家联盟）实习计划启动仪式。
Ends/Monday, May 26, 2008Issued at HKT 21:44	２００８年５月２６日（星期一）香港时间２１时４５分
It showcased Hong Kong in the context of the many opportunities that exist in the Guangdong-Hong Kong-Macao Greater Bay Area, with its population of 70 million.	活动展示了香港面向拥有7 000万人口和商机处处的粤港澳大湾区。
Secretary for Labour and Welfare (Permanent Secretary for Labour and Welfare as alternate)	劳工及福利局局长（劳工及福利局常任秘书长任候补）
During his absence, Secretary for Development Mrs Carrie Lam will act as Financial Secretary.	在他离港期间，发展局局长林郑月娥将出任署理财政司司长。
Ends/Wednesday, August 25, 2010Issued at HKT 16:00	２０１０年８月２５日（星期三）香港时间１６时００分
The Working Group on Long-Term Fiscal Planning released its report today (March 3), making projections on the growth trends of government revenue and expenditure according to population growth and demographic changes.	长远财政计划工作小组今日（三月三日）发表报告，按未来人口结构的转变，推算未来政府收入和开支的长远趋势。
"I believe that these new initiatives will further help SMEs maintain their competitiveness, tap into emerging markets and ease their financial pressure," said Mr Tsang.	「我相信这些新措施可以协助香港中小企保持竞争力，开拓新兴巿场及纾缓面对的经济压力。」
Earlier in the day, Mr Tsang spoke at a business luncheon and a conference entitled "Hong Kong: The Ideal Fund-Raising Centre in Asia" organised by the Hong Kong Trade Development Council and the Hong Kong Exchange.	今日较早时间，曾俊华在香港贸发局及香港交易所合办的「香港为亚洲理想集资中心」商务午餐会及会议上致辞。
FS bolsters closer economic relations in Dubai (with photos)	财政司司长访杜拜加强经济关系（附图）
The government and regulatory authorities of the two sides, together with the SSE, the SEHK, the China Securities Depository and Clearing Corporation Limited and the Hong Kong Securities Clearing Company Limited, have worked closely together on the development of Shanghai-Hong Kong Stock Connect.	两地政府及监管部门联合上海交易所、香港联合交易所、中国证券登记结算有限责任公司（中国结算）及香港中央结算有限公司（香港结算）就沪港通的发展紧密合作。
The IMF sees an economic recovery is under way in Hong Kong, fuelled by growth on the Mainland, supportive government policies and accommodative monetary conditions imported from the US.	基金组织认为在中国经济增长、政府支持经济的政策，以及美国宽松的货币状况的刺激下，香港的经济正逐步复苏。
The Hong Kong Special Administrative Region Government today (January 25) welcomed the Heritage Foundation's high regard for Hong Kong as the world’s freest economy for the 25th consecutive year.	香港特别行政区政府今日（一月二十五日）欢迎传统基金会连续二十五年高度评价香港作为全球最自由的经济体。
FS visits Abu Dhabi (with photos)	财政司司长访问阿布扎比（附图）
The half-day, high-level forum organised by Hong Kong Polytechnic University with the support of the Innovation and Technology Commission and the Science, Industry, Trade and Information Technology Commission of Shenzhen Municipality, sought to promote the successful collaboration in innovation and technology between Mainland and Hong Kong, with a focus on the Shenzhen-Hong Kong Innovation Circle.	是次为期半天的高层交流会由香港理工大学主办，并得到创新科技署与深圳市科技工贸和信息化委员会的支持。 交流会旨在推动内地与香港的创新科技合作，特别是「深港创新圈」的发展。
Before ending his visit, Mr Tsang officiated at the opening ceremony of the students’ activities centre in the school.	在访问结束前，曾俊华为学校的学生活动中心主持开幕仪式。
"This will help make the Institute a world-class training centre, provide more comprehensive support to elite athletes, and strengthen our efforts to identify and train young athletes with potential," said Mr Tsang.	曾俊华说，这将使香港体育学院成为世界级的训练中心，为精英运动员提供更全面的支援。
* Increasing the basic and additional child allowances from the current $100,000 to $120,000, benefiting 335 000 taxpayers;	＊　增加子女基本及额外免税额，由现时10万元增至12 万元，将惠及33.5万名纳税人；
During his visit, Mr Tsang also took the chance to chat with tourists in the park and wished them a happy Lunar New Year of the Ox.	曾俊华亦借此机会与海洋公园内的游客交谈，并预祝他们新春愉快。
Appointments to Mandatory Provident Fund Schemes Authority and Mandatory Provident Fund Schemes Advisory Committee	政府公布强制性公积金计划管理局及强制性公积金计划咨询委员会任命
Having completed the first leg of visit to the Middle East, Mr Tsang left for his second stop in Abu Dhabi, where he will continue his trade promotion mission in the Middle East.	曾俊华结束访问首站利雅德，转往阿布扎比，继续中东商贸推广行程。
Up till now, the Securities and Futures Commission is not aware of any major issues so far.	直至目前为止，证券及期货事务监察委员会未察觉市场有任何重大异常情况。
Free, Enterprising, Excellence, Innovative and Quality Living.	自由开放，积极进取，追求卓越，勇于创新，优质生活。
In addition, a new desalination plant using the latest reverse osmosis technology would be built at Tseung Kwan O. Design work for the first stage of the plant commenced in late 2015.	此外，政府会应用最新的逆渗透技术，在将军澳兴建新海水化淡厂，第一阶段的设计工作已于二零一五年年底展开。
The Budget also invests significantly in protecting and nurturing our next generation, from enhancing child and youth development, education to upward social mobility and social inclusion.	值得一提的是，预算案特别关心我们的儿童、青年人、教育以及培育人才的发展。
Since the start of 2015, the international political arena and global financial markets have provided plenty of breaking news.	踏入二零一五年以来，无论是国际政治还是环球金融市场，都发生了不少大事。
The "Faces of Hong Kong" campaign is underpinned by a promotional video, a new BrandHK communications booklet, a revamped BrandHK website and new print advertisements.	「见面‧见香港」宣传运动包括宣传片制作、新宣传小册子、革新的「香港品牌」网站和新的宣传广告。
Ends/Wednesday, March 17, 2010Issued at HKT 16:24	２０１０年３月１７日（星期三）香港时间１６时２２分
To facilitate long-term co-operation and communication, the Taiwan side welcomes Hong Kong to set up in Taipei a multi-functional office. Both sides will discuss detailed arrangements for the setting up of the office;	为更便利长远的合作和沟通，台方表示欢迎香港在台北设立综合性办事处，双方会就具体落实工作进行磋商；
Diversity, openness, peace and freedom are not only our core values, but also the foundations of our success, and the most reliable co-ordinates of our development path.	多元、开放、和平、自由不单止是香港的核心价值，更是我们多年来成功的根本，是香港未来发展最可靠的座标。
This would increase the HA's total expenditure on drugs to $6 billion in 2019-20;	医管局二零一九／二零年度用于药物的总开支会因而增至60亿元；
The Financial Secretary, Mr Paul Chan, today (November 20) started his visit to Beijing.	财政司司长陈茂波今日（十一月二十日）展开北京访问。
Ends/Friday, February 2, 2018	2018年2月2日（星期五）
Financial Secretary:	财政司司长：
The Hong Kong dollar exchange rate and Interbank interest rates remained stable.	港元汇率及银行同业拆息大致稳定。
Mr Tsang will officiate and deliver the keynote address at the Hong Kong – Russia Business Seminar, "Hong Kong: Your Partner for Success in Asia", to promote potential business opportunities in Hong Kong and the advantages of using Hong Kong as a platform for doing business in and with Mainland China.     Mr Tsang will also have a range of meetings with private sector leaders concerned with business, banking, property development, finance and shipping.	曾俊华又会在符拉迪沃斯托克市举行的港俄商贸研讨会「香港－助你成功拓展亚洲市场的伙伴」担任主礼嘉宾和发表演说，介绍香港的营商机遇，以及以香港进军内地市场或与内地合作营商的优势。 曾俊华更会与当地商界、银行界、地产界、金融界和船务界等翘楚会面。
FS issues statement on appointment (with photo)	财政司司长就任命发表声明（附图）
The Budget also focuses on the long-term vitality of Hong Kong's economy, with concrete measures to strengthen our edges in the traditional economic pillars and support the development of other sectors where Hong Kong enjoys clear advantages.	预算案亦着眼本港的长远经济活力，提出具体措施，巩固传统产业优势，并支援其他优势产业的发展。
I hope that Hong Kong people can likewise show their caring spirit by taking action to support those in need in the community."	冀盼所有香港人都能同样地发挥关爱精神，以行动支持社会上有需要帮助的人。」
A breakfast meeting was held with representatives of Hong Kong enterprises and Hong Kong people working in Hubei Province to enable Mr Tsang to better understand the opportunities and challenges of doing business in Hubei.	曾俊华上午与香港企业代表及在鄂工作港人进行早餐会，加深了解当地营商的机遇及挑战。
Financial Secretary:	财政司司长：
At the meeting, Mr Tsang and Mr Govorun exchanged views on the opportunities for expanding bilateral trade between Hong Kong and Russia.	双方在会面中就加强香港与俄罗斯的双边贸易交换意见。
Ends/Monday, October 8, 2007Issued at HKT 19:24	２００７年１０月８日（星期一）香港时间１９时２４分
"We will continue to capture the immense opportunities arising from the tremendous growth in the Mainland market.	「我们会继续把握内地市场快速增长所带来的巨大机遇。
and* continuing to identify suitable workspace for individuals and enterprises engaging in creative industries and help promote their work.	及＊　继续为从事创意产业的人士和企业物色合适的活动空间，协助推广。
Supplement X opens up new opportunities for services liberalisation in key areas including legal services, financial services, testing and certification, audiovisual and telecommunications.	《补充协议十》为以下主要领域的服务贸易开放带来新机遇： 法律服务、金融服务、检测和认证、视听、通讯服务等；
Mr Tsang will also take the opportunity to learn more about the latest developments in Zhuhai and Macau and meet senior officials there.	曾俊华趁此行加深了解珠海及澳门的最新发展及与当地高层官员会面，并会视察港珠澳大桥工程进度。
The meeting began with speeches made by honoured guests Mr John C Tsang, ECCPC Honorary Chairperson, and Dr Lai Shin-yuan, head of the Taiwan Mainland Affairs Council.	会议开始时先由「协进会」荣誉主席曾俊华及台湾大陆委员会主委赖幸媛作嘉宾致辞。
Mr Chan will return to Hong Kong in the night on October 13 and head to Papua New Guinea the following night (October 14) for the Asia-Pacific Economic Cooperation (APEC) Finance Ministers' Meeting (FMM).	陈茂波十月十三日晚上返抵本港，翌日（十月十四日）晚上前赴巴布亚新几内亚，出席亚太区经济合作组织财长会议。
The initiative is expected to add about 2,800 jobs and give a welcome boost to the economy.	这预料会带动经济，并创造约2,800个职位。
Ends/Thursday, October 18, 2018	2018年10月18日（星期四）
Later Mr Tsang and the delegation will attend a networking cocktail function hosted by Business Unity South Africa. This will be followed by a dinner hosted by Standard Chartered Bank.	其后，曾俊华与代表团将出席Business Unity South Africa的酒会，以及渣打银行举行的晚宴。
Ends/Wednesday, April 25, 2012Issued at HKT 18:44	２０１２年４月２５日（星期三）香港时间１８时５２分
Following is the transcript of remarks by the Financial Secretary, Mr John C Tsang, at a media session on the SME Financing Guarantee Scheme of the Hong Kong Mortgage Corporation today (November 15):	以下是财政司司长曾俊华今日（十一月十五日）就香港按揭证券有限公司的中小企融资担保计划会见传媒的谈话全文：
The other incumbent directors appointed by the Financial Secretary are Mr Chow Chung-kong and Mr Timothy Freshwater.	其他由财政司司长委任的现任董事为周松岗和范华达。
Financial Secretary:	财政司司长：
The Financial Secretary, Mr John C Tsang, will lead a high-level mission to Slovenia, Austria and the Czech Republic next week to promote the opportunities that are available in Hong Kong to global partners.	财政司司长曾俊华下周将率领高层代表团访问斯洛文尼亚、奥地利和捷克共和国，向各国的商界推广香港的投资机会。 曾俊华表示：
The CRF Hong Kong 2017 is one of the events celebrating the 20th anniversary of the establishment of the Hong Kong Special Administrative Region.	「2017公司注册论坛」是香港特别行政区成立二十周年的其中一项庆祝活动。
At the end of August this year, more than 1 800 companies were listed, including Mainland and overseas companies."	截至今年八月底，超过一千八百间企业在港挂牌上市，当中包括内地和海外企业。」
On the whole, the financial market and the banking system are operating smoothly.	金融市场和银行体系整体运作正常。
FS continues visit to Jakarta	财政司司长继续雅加达访问行程
Furthermore, the Budget also proposes one-off tax relief measures for 2017/18 that will amount to a reduction of $43.3 billion tax revenue.	另外，预算案推出多项一次性税务宽减措施，涉及税款减收433亿元。
The Financial Secretary, Mr John C Tsang, signed an agreement on the avoidance of double taxation with the United Arab Emirates (UAE) and announced the launch of negotiations for an Investment Promotion and Protection Agreement in Dubai today (December 11).	财政司司长曾俊华今日（十二月十一日）在杜拜与阿拉伯联合酋长国（阿联酋）就避免双重课税签署协定，并宣布两地就促进和保护投资协定展开谈判。
Sale and purchase agreements signed today or before today are not affected.	在今天或以前签署的「买卖协议」将不受影响。
We must attract talented people from the Mainland and overseas to give fresh impetus to our economy and improve our population structure."	我们必须吸纳内地及海外专才，为经济注入新的动力，改善人口结构。」
“We also seek to alleviate the inflationary pressure felt by our people, reduce the risk of asset-price bubbles, and use public resources to invest in the future,” he said.	他并提出「纾缓市民正在面对的通胀压力、减低资产泡沫风险，更运用公共资源，投资未来」。
Mr Tsang said that the number of elderly people was expected to increase from the current 870,000 to about 2.17 million by 2033.	他估计到二○三三年，长者人数会由现时87万增加至217万。
During their visit to Macao, the Financial Secretary and representatives from the HKSAR Government visited the construction site of the new campus of the University of Macau in Hengqin to learn about Macao's latest development in education and town planning.	财政司司长及香港特区政府代表亦在访澳期间实地考察位于横琴的澳门大学新校区的建设情况，了解澳门在教育及城市规划的最新发展。
Ends/Friday, April 10, 2015Issued at HKT 19:38	２０１５年４月１０日（星期五）香港时间１９时３７分
(3) injecting another $1 billion into the Dedicated Fund on Branding, Upgrading and Domestic Sales (BUD Fund);	（三）向为发展品牌、升级转型及拓展内销市场的专项基金（专项基金），再注资10亿元；
Under the Scheme, people who pay no tax and live in self-owned domestic properties that benefit less than $4,000 in rates concession, or those who pay tax but benefit less than $4,000 through tax and rates concession in aggregate, can also apply for the balance.	如果市民拥有物业并用作自住，没有缴交薪俸税而享有的差饷宽免少于四千元； 又或他们须缴交薪俸税，但退税和差饷宽免的得益合共少于四千元，在有关计划下，这些市民也可申请发放差额。
(6) The bilateral Cultural Co-operation Committees of the ECCPC and the THEC organised the first Cultural Co-operation Forum in Hong Kong in May this year, and reached consensus on an Action Agenda on Cultural Co-operation between Hong Kong and Taiwan.	（六）两会的双边文化合作委员会于今年五月在香港举行了首届文化合作论坛，并就港台文化合作的行动纲领达成了共识。
To help meet the demand for welfare facilities in urban areas, Mr Chan set aside $20 billion for the purchase of 60 properties. These will accommodate more than 130 welfare facilities, including day child care centres, neighbourhood elderly centres and on-site pre-school rehabilitation services, benefiting some 86 000 people.	面对人口稠密地区对社福服务需求殷切，陈茂波会拨款200亿元，购置60个物业，以供设立日间幼儿中心、长者邻舍中心、到校学前康复服务等超过130项社福设施，预计约86 000人受惠。
“People come first in all our policies. No matter how our economy fares, we cherish each and every member of our community.	「我们一直以人为本，无论经济顺逆，都重视每一位香港市民的价值。
The Financial Secretary, Mr John C Tsang, continued his schedule in Hanoi today (April 24), with meetings lined up to build stronger business links between Vietnam and Hong Kong.     Mr Tsang started the day by meeting the former Consul-General of Vietnam in Hong Kong, Mr Pham Cao Phong.	财政司司长曾俊华今日（四月二十四日）继续在河内的访问行程，会晤当地要员，建立香港与越南更紧密的经贸关系。 曾俊华先与前越南驻港总领事Pham Cao Phong会面。
The agenda of the above meeting can be obtained via the LegCo Website (www.legco.gov.hk).	公众人士可透过立法会网页（www.legco.gov.hk）索取上述会议的议程。
FS visits Beijing and Tianjin (with photos)	财政司司长访问北京及天津（附图）
He also visited a local fruit and vegetable market in Lima.	他亦参观了利马当地的水果及蔬菜市场。
Likewise, Russian nationals will enjoy the same visa-free treatment when visiting Hong Kong.	同样，俄罗斯国民前往香港亦享有相同的免签证待遇。
Ends/Monday, July 20, 2015Issued at HKT 16:00	２０１５年７月２０日（星期一）香港时间１６时００分
Mr Tsang also underlined the value of small and medium enterprises (SMEs) to Hong Kong's economy.	他强调中小企业对香港经济的重要性。
The level of cash rebate under the R&D Cash Rebate Scheme will be increased to 40 per cent to encourage private enterprises, small and medium enterprises in particular, to put more resources into R&D work.	提高「投资研发现金回赠计划」的回赠金额至四成，鼓励私人企业，尤其是中小企，把更多资源投放于研发工作；
This is the 24th comprehensive agreement for the avoidance of double taxation (CDTA) concluded by Hong Kong with its trading partners, coming after those with Belgium, Thailand, the Mainland of China, Luxembourg, Vietnam, Brunei, the Netherlands, Indonesia, Hungary, Kuwait, Austria, the United Kingdom, Ireland, Liechtenstein, France, Japan, New Zealand, Portugal, Spain, the Czech Republic, Switzerland, Malta and Jersey.	在此之前，香港已先后与比利时、泰国、中国内地、卢森堡、越南、文莱、荷兰、印尼、匈牙利、科威特、奥地利、英国、爱尔兰、列支敦士登、法国、日本、新西兰、葡萄牙、西班牙、捷克共和国、瑞士、马耳他和泽西岛等贸易伙伴签订全面性协定。
Hence the evolution of the dragon.	飞龙标志因而进化。
FS concludes visit to Chongqing	财政司司长结束访问重庆
